Reconciliation ID,DOC-REQ ID,Stage 0 REQ ID,Modul,Role Laporan,Role Implementasi,Requirement Laporan,Requirement As-Built,Status,Penjelasan Perbedaan,Report Evidence,Source Evidence,Recommendation
"REC-055","DOC-REQ-023","REQ-NIL-002","Penilaian","Wali Kelas","WKL","Wali Kelas harus dapat menarik rekap nilai semua Guru, menyesuaikan, dan memfinalisasi nilai akhir.","Sistem harus memungkinkan Wali Kelas mengelola dan mencetak nilai kelasnya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-023 (hlm. 10–12; 15; 18; 21)","WaliKelas/NilaiController","Pertahankan sebagai kandidat baseline final."
"REC-056","DOC-REQ-023","REQ-NIL-003","Penilaian","Wali Kelas","Sistem, GRU, WKL","Wali Kelas harus dapat menarik rekap nilai semua Guru, menyesuaikan, dan memfinalisasi nilai akhir.","Sistem harus menyinkronkan nilai submission LMS ke rekap nilai yang tepat.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-023 (hlm. 10–12; 15; 18; 21)","Observers; `NilaiSyncService`","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-057","DOC-REQ-017","REQ-NIL-004","Penilaian","Guru","GRU","Guru harus dapat menilai penugasan dan ujian serta memberi umpan balik; ujian semester memiliki komponen tertulis dan proyek.","Sistem harus memungkinkan Guru mengoreksi submission tugas dalam assignment-nya.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-017 (hlm. 12; 15; 21)","GuruKoreksiController; AiGradingService","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-058","DOC-REQ-027, DOC-REQ-049","REQ-NIL-005","Penilaian","Orang Tua/Wali Siswa; Siswa","SIS, ORT","Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik. / Siswa harus dapat melihat progres belajar, rekap absensi, dan nilai harian miliknya.","Sistem harus menampilkan nilai hanya untuk siswa terkait/anak tertaut.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-027 (hlm. 10; 13; 19; 21); DOC-REQ-049 (hlm. 139)","SiaDashboard/parent controllers/views","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-059","DOC-REQ-026","REQ-RAP-001","Rapor","Wali Kelas","WKL","Wali Kelas harus dapat mengunggah rapor final berbentuk PDF setelah PTS/PAS.","Sistem harus memungkinkan Wali Kelas menghasilkan rapor dari data kelasnya.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-026 (hlm. 11; 18; 21)","RaporController generate methods","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-060","DOC-REQ-023, DOC-REQ-024","REQ-RAP-002","Rapor","Sistem, Guru, Wali Kelas; Wali Kelas","WKL","Sistem harus menghitung nilai akhir dengan bobot Tugas 1, Latihan 1, Ulangan 2, PTS/UTS 3, dan PAS/UAS 3, dibagi 10. / Wali Kelas harus dapat menarik rekap nilai semua Guru, menyesuaikan, dan memfinalisasi nilai akhir.","Sistem harus memungkinkan Wali Kelas mengisi dan memformat rapor.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-023 (hlm. 10–12; 15; 18; 21); DOC-REQ-024 (hlm. 12; 18)","RaporController; Template controller/tests","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-061","DOC-REQ-028","REQ-RAP-003","Rapor","Siswa","WKL","Siswa harus dapat melihat rapor final hanya pada jadwal pengambilan rapor yang ditentukan.","Sistem harus memungkinkan perubahan state publikasi rapor sesuai aturan.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-028 (hlm. 13; 15; 19)","RaporController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-062","DOC-REQ-047","REQ-RAP-004","Rapor","Ketua PKBM","WKL","Ketua harus dapat memvalidasi rapor tingkat akhir.","Sistem harus memungkinkan Wali mengirim atau membatalkan pengiriman rapor untuk validasi Ketua.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-047 (hlm. 84; 124)","RaporController validation methods","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-063","DOC-REQ-047","REQ-RAP-005","Rapor","Ketua PKBM","KET","Ketua harus dapat memvalidasi rapor tingkat akhir.","Sistem harus memungkinkan Ketua memvalidasi, membatalkan atau meminta revisi rapor.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-047 (hlm. 84; 124)","Ketua/ValidasiRaporController","Pertahankan sebagai kandidat baseline final."
"REC-064","DOC-REQ-028, DOC-REQ-046","REQ-RAP-006","Rapor","Orang Tua, Wali Kelas; Siswa","ORT, WKL","Orang Tua meminta unduh rapor dan Wali Kelas memutuskan permintaan tersebut. / Siswa harus dapat melihat rapor final hanya pada jadwal pengambilan rapor yang ditentukan.","Sistem harus menerapkan workflow persetujuan sebelum Orang Tua mengunduh rapor.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-028 (hlm. 13; 15; 19); DOC-REQ-046 (hlm. 82; 88; 123; 128)","RequestDownload model/controllers","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-065","—","REQ-RAP-007","Rapor","—","WKL","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus menyediakan arsip read-only bagi kelas yang pernah diwalikan.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","WaliKelasArsipController","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-066","DOC-REQ-006, DOC-REQ-010","REQ-LMS-001","Pembelajaran Daring","Admin, Wali Kelas, Guru, Siswa; Guru","GRU","Admin mengatur jadwal; Wali/Siswa melihat jadwal kelas; Guru melihat jadwal dan kelas/mapel yang diampu. / Guru harus dapat membuat, mengubah, menghapus, dan mengunggah materi pada kelas yang diampu.","Sistem harus menyediakan dashboard LMS hanya untuk assignment kelas-mapel Guru.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-006 (hlm. 14; 17–20); DOC-REQ-010 (hlm. 10; 12; 14)","GuruLmsController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-067","DOC-REQ-010, DOC-REQ-011","REQ-LMS-002","Pembelajaran Daring","Guru","GRU","Guru harus dapat membuat, mengubah, menghapus, dan mengunggah materi pada kelas yang diampu. / Materi/catatan tambahan dapat memakai foto, PDF, Word, Excel, PPT, atau URL video.","Sistem harus memungkinkan Guru mengelola materi kelas-mapel yang diampu.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-010 (hlm. 10; 12; 14); DOC-REQ-011 (hlm. 12; 19)","GuruMateriController; upload test","Pertahankan sebagai kandidat baseline final."
"REC-068","DOC-REQ-027","REQ-LMS-003","Pembelajaran Daring","Siswa","SIS","Siswa harus dapat melihat progres belajar, rekap absensi, dan nilai harian miliknya.","Sistem harus memungkinkan Siswa membaca materi mapel kelasnya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-027 (hlm. 10; 13; 19; 21)","LmsMateriController; LMS middleware","Pertahankan sebagai kandidat baseline final."
"REC-069","DOC-REQ-013","REQ-LMS-004","Pembelajaran Daring","Guru","GRU","Guru harus dapat mengelola latihan, tugas, dan ulangan beserta soal/file dan tenggat.","Sistem harus memungkinkan Guru mengelola tugas pada assignment-nya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-013 (hlm. 12; 14; 20)","GuruTugasController","Pertahankan sebagai kandidat baseline final."
"REC-070","DOC-REQ-016","REQ-LMS-005","Pembelajaran Daring","Siswa","SIS","Siswa harus dapat mengunggah jawaban tugas/ujian dalam format yang didukung sebelum tenggat.","Sistem harus memungkinkan Siswa mengirim jawaban tugas yang dapat dikerjakan.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-016 (hlm. 13; 15; 19; 21)","LmsTugasController","Pertahankan sebagai kandidat baseline final."
"REC-071","DOC-REQ-015","REQ-LMS-006","Pembelajaran Daring","Guru, Siswa","GRU","Guru mengelola ujian PTS/PAS berakses terbatas dan Siswa yang berhak mengerjakannya.","Sistem harus memungkinkan Guru mengelola konfigurasi dan hasil ujian pada assignment-nya.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-015 (hlm. 12; 15; 19)","GuruUjianController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-072","DOC-REQ-014, DOC-REQ-015","REQ-LMS-007","Pembelajaran Daring","Guru, Siswa","GRU","Guru mengelola ujian PTS/PAS berakses terbatas dan Siswa yang berhak mengerjakannya. / Latihan harus mendukung pilihan ganda kompleks dan benar/salah dengan koreksi otomatis.","Sistem harus memungkinkan Guru mengelola dan import/export bank soal.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-014 (hlm. 12; 19); DOC-REQ-015 (hlm. 12; 15; 19)","GuruUjianController; Soal import/model/tests","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-073","—","REQ-LMS-008","Pembelajaran Daring","—","GRU","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan Guru menghasilkan draf soal melalui provider AI yang dikonfigurasi.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","AiQuestionGeneratorService; tests","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-074","DOC-REQ-015","REQ-LMS-009","Pembelajaran Daring","Guru, Siswa","SIS","Guru mengelola ujian PTS/PAS berakses terbatas dan Siswa yang berhak mengerjakannya.","Sistem harus memungkinkan Siswa memulai, menyimpan dan submit ujian yang eligible.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-015 (hlm. 12; 15; 19)","LmsUjianController; security tests","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-075","—","REQ-LMS-010","Pembelajaran Daring","—","GRU, SIS","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus mencatat dan menampilkan data pengawasan ujian sesuai akses.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","migration pengawasan; controllers","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-076","DOC-REQ-014","REQ-LMS-011","Pembelajaran Daring","Guru, Siswa","GRU","Latihan harus mendukung pilihan ganda kompleks dan benar/salah dengan koreksi otomatis.","Sistem harus memungkinkan Guru mengelola latihan pada assignment-nya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-014 (hlm. 12; 19)","GuruUjianController routes latihan","Pertahankan sebagai kandidat baseline final."
"REC-077","DOC-REQ-014","REQ-LMS-012","Pembelajaran Daring","Guru, Siswa","SIS","Latihan harus mendukung pilihan ganda kompleks dan benar/salah dengan koreksi otomatis.","Sistem harus memungkinkan Siswa mengerjakan/retake latihan sesuai aturan.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-014 (hlm. 12; 19)","LmsUjianController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-078","DOC-REQ-012","REQ-LMS-013","Pembelajaran Daring","Guru, Siswa","GRU, SIS","Sistem harus menyediakan forum diskusi materi untuk tanya jawab Guru dan Siswa.","Sistem harus menyediakan forum diskusi ter-scope kelas-mapel.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-012 (hlm. 10; 12; 14; 20)","Forum controllers; forum tests","Pertahankan sebagai kandidat baseline final."
"REC-079","DOC-REQ-043","REQ-LMS-014","Pembelajaran Daring","Guru, Siswa","GRU, SIS","Sistem harus menyediakan kelas virtual per kelas dan mata pelajaran.","Sistem harus menyediakan meeting virtual per kelas-mapel.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-043 (hlm. 73; 90; 114; 130; 155)","Meeting controllers/model","Pertahankan sebagai kandidat baseline final."
"REC-080","—","REQ-LMS-015","Pembelajaran Daring","—","GRU","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus memungkinkan Guru menyalin konten historis milik/pernah diampu ke assignment aktif.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","GuruLmsArsipService/tests","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-081","DOC-REQ-037","REQ-PRM-001","Kenaikan Kelas","Admin, Waka, Wali Kelas, Bendahara, Ketua","ADM, WKA","Sistem harus mendukung pengaturan, prediksi, dispensasi, keputusan, penjadwalan, eksekusi, dan rollback kenaikan kelas.","Sistem harus memungkinkan pengelola menentukan KKM.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-037 (hlm. 62–63; 81; 85; 103–104; 122; 125; 153–155)","PromotionKKMController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-082","DOC-REQ-037","REQ-PRM-002","Kenaikan Kelas","Admin, Waka, Wali Kelas, Bendahara, Ketua","ADM, WKA","Sistem harus mendukung pengaturan, prediksi, dispensasi, keputusan, penjadwalan, eksekusi, dan rollback kenaikan kelas.","Sistem harus memungkinkan pengelola menentukan kriteria/tujuan kenaikan.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-037 (hlm. 62–63; 81; 85; 103–104; 122; 125; 153–155)","PromotionSettingsController","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-083","DOC-REQ-045","REQ-PRM-003","Kenaikan Kelas","Wali Kelas","WKL","Wali Kelas harus dapat melihat prediksi kenaikan kelas siswa perwaliannya.","Sistem harus menampilkan prediksi kelayakan siswa kelas wali.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-045 (hlm. 81; 122)","Wali PromotionController; PromotionService","Pertahankan sebagai kandidat baseline final."
"REC-084","DOC-REQ-048","REQ-PRM-004","Kenaikan Kelas","Ketua, Bendahara, Wali Kelas","ADM, BEN","Sistem harus mendukung dispensasi kenaikan kelas bagi siswa yang belum memenuhi syarat.","Sistem harus memungkinkan validasi/override aspek finansial kenaikan.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-048 (hlm. 85; 125; 154–155)","PromotionValidation controllers/tests","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-085","DOC-REQ-048","REQ-PRM-005","Kenaikan Kelas","Ketua, Bendahara, Wali Kelas","KET","Sistem harus mendukung dispensasi kenaikan kelas bagi siswa yang belum memenuhi syarat.","Sistem harus memungkinkan Ketua memberi keputusan kenaikan satuan atau bulk.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-048 (hlm. 85; 125; 154–155)","PromotionApprovalController","Pertahankan sebagai kandidat baseline final."
"REC-086","DOC-REQ-037","REQ-PRM-006","Kenaikan Kelas","Admin, Waka, Wali Kelas, Bendahara, Ketua","ADM, WKA","Sistem harus mendukung pengaturan, prediksi, dispensasi, keputusan, penjadwalan, eksekusi, dan rollback kenaikan kelas.","Sistem harus memungkinkan eksekusi dan rollback kenaikan kelas secara terkontrol.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-037 (hlm. 62–63; 81; 85; 103–104; 122; 125; 153–155)","PromotionReportController; PromotionService","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-087","DOC-REQ-037","REQ-PRM-007","Kenaikan Kelas","Admin, Waka, Wali Kelas, Bendahara, Ketua","ADM, WKA, Sistem","Sistem harus mendukung pengaturan, prediksi, dispensasi, keputusan, penjadwalan, eksekusi, dan rollback kenaikan kelas.","Sistem harus memungkinkan penjadwalan dan eksekusi kenaikan tanpa overlap.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-037 (hlm. 62–63; 81; 85; 103–104; 122; 125; 153–155)","PromotionSchedule; console command/routes","Pertahankan sebagai kandidat baseline final."
"REC-088","DOC-REQ-009, DOC-REQ-038","REQ-MON-001","Monitoring & Catatan","Admin, Ketua, Waka; Admin, Wali Kelas","ADM, KET, WKA","Admin memonitor pengguna aktif/history akses; Wali Kelas memonitor siswa aktif dalam kelasnya. / Sistem harus menyediakan monitoring pengguna dan konten LMS sesuai lingkup aktor.","Sistem harus menyediakan monitoring pengguna, siswa, guru dan wali kelas sesuai scope.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-009 (hlm. 11–12; 16; 18); DOC-REQ-038 (hlm. 64; 80; 105; 121)","Monitoring/Ketua/Waka controllers","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-089","DOC-REQ-038","REQ-MON-002","Monitoring & Catatan","Admin, Ketua, Waka","ADM, KET, WKA","Sistem harus menyediakan monitoring pengguna dan konten LMS sesuai lingkup aktor.","Sistem harus menyediakan monitoring dan preview konten LMS.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-038 (hlm. 64; 80; 105; 121)","LmsMonitoringService","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-090","DOC-REQ-044","REQ-MON-003","Monitoring & Catatan","Admin, Ketua, Waka, Guru","ADM, KET, WKA","Pimpinan harus dapat mengirim catatan monitoring dan Guru membacanya.","Sistem harus memungkinkan pimpinan mengirim dan mengelola catatan/teguran.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-044 (hlm. 80; 83; 121; 123; 173)","controllers Catatan; NotificationService","Pertahankan sebagai kandidat baseline final."
"REC-091","DOC-REQ-044","REQ-MON-004","Monitoring & Catatan","Admin, Ketua, Waka, Guru","GRU","Pimpinan harus dapat mengirim catatan monitoring dan Guru membacanya.","Sistem harus memungkinkan Guru melihat catatan monitoring untuk dirinya.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-044 (hlm. 80; 83; 121; 123; 173)","GuruCatatanMonitoringController","Pertahankan sebagai kandidat baseline final."
"REC-092","DOC-REQ-029, DOC-REQ-053","REQ-NOT-001","Notifikasi","Guru, Siswa, Sistem; Semua login","Semua login","Sistem harus mengirim notifikasi tugas/latihan/ulangan baru, pengumpulan jawaban, dan tenggat. / Sistem harus menyimpan notifikasi per pengguna dan status waktu bacanya.","Sistem harus menampilkan pusat notifikasi milik pengguna.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-029 (hlm. 10; 15; 21); DOC-REQ-053 (hlm. 171–172)","NotificationController/model","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-093","DOC-REQ-053","REQ-NOT-002","Notifikasi","Semua login","Semua login","Sistem harus menyimpan notifikasi per pengguna dan status waktu bacanya.","Sistem harus memungkinkan pengguna mengubah status baca atau menghapus notifikasinya.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","DOC-REQ-053 (hlm. 171–172)","NotificationController","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-094","DOC-REQ-029","REQ-NOT-003","Notifikasi","Guru, Siswa, Sistem","Sistem","Sistem harus mengirim notifikasi tugas/latihan/ulangan baru, pengumpulan jawaban, dan tenggat.","Sistem harus menghasilkan reminder deadline dan kalender terjadwal tanpa duplikasi yang dilarang.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-029 (hlm. 10; 15; 21)","routes console; NotificationScheduler/Service","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-095","DOC-REQ-001, DOC-REQ-027, DOC-REQ-032","REQ-SWA-001","Portal Siswa","Semua; Siswa","SIS","Sistem harus berupa aplikasi web terpusat yang mengintegrasikan LMS dan SIA untuk operasional SMP dan SMA. / Siswa harus dapat melihat profil akademik pribadinya secara read-only. / Siswa harus dapat melihat progres belajar, rekap absensi, dan nilai harian miliknya.","Sistem harus menyediakan dashboard SIA dan LMS berdasarkan profil/status siswa.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-001 (hlm. 9–10); DOC-REQ-027 (hlm. 10; 13; 19; 21); DOC-REQ-032 (hlm. 13; 16; 20)","SiswaDashboard/LmsDashboard controllers; middleware","Pertahankan sebagai kandidat baseline final."
"REC-096","DOC-REQ-027, DOC-REQ-032","REQ-SWA-002","Portal Siswa","Siswa","SIS","Siswa harus dapat melihat profil akademik pribadinya secara read-only. / Siswa harus dapat melihat progres belajar, rekap absensi, dan nilai harian miliknya.","Sistem harus menampilkan informasi akademik hanya milik siswa login.","MATCH","Substansi requirement laporan/desain dan perilaku final sejalan.","DOC-REQ-027 (hlm. 10; 13; 19; 21); DOC-REQ-032 (hlm. 13; 16; 20)","Siswa controllers; LMS middleware","Pertahankan sebagai kandidat baseline final."
"REC-097","—","REQ-SWA-003","Portal Siswa","—","SIS alumni","Tidak ditemukan requirement ekuivalen dalam laporan.","Sistem harus membatasi alumni pada akses riwayat akademik read-only.","IMPLEMENTATION_ONLY","Fitur aktif ditemukan pada source final, tetapi requirement bisnis ekuivalen tidak ditemukan dalam laporan.","Tidak ditemukan","`CheckStudentActive.php`","Konfirmasi apakah fitur diterima sebagai iterative addition dalam scope final."
"REC-098","DOC-REQ-049","REQ-WLS-001","Portal Orang Tua","Orang Tua/Wali Siswa","ORT","Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik.","Sistem harus menampilkan dashboard anak yang tertaut ke Orang Tua login.","EXPANDED","Implementasi final mempertahankan tujuan terdokumentasi dengan cakupan, kontrol, output, atau aktor tambahan.","DOC-REQ-049 (hlm. 139)","`OrangTuaController@dashboard`; User model","Validasi cakupan tambahan dengan stakeholder lalu tetapkan baseline final."
"REC-099","DOC-REQ-030, DOC-REQ-050","REQ-WLS-002","Portal Orang Tua","Orang Tua/Wali Siswa; Siswa","ORT","Orang Tua/Wali Siswa dapat melakukan pembayaran anak melalui manual/Midtrans dan tercatat sebagai pembayar. / Siswa harus dapat melihat tagihan, mengunggah bukti, dan melihat status/riwayat pembayaran.","Sistem harus menampilkan tagihan, pembayaran dan invoice hanya untuk anak tertaut.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-030 (hlm. 13; 16; 19–20); DOC-REQ-050 (hlm. 86; 126; 165–166)","parent tagihan/invoice methods","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-100","DOC-REQ-049, DOC-REQ-051","REQ-WLS-003","Portal Orang Tua","Orang Tua/Wali Siswa","ORT","Orang Tua/Wali Siswa dapat mengajukan izin/dispensasi untuk anak. / Sistem harus menautkan akun Orang Tua ke satu/lebih Siswa dengan atribut tanggung jawab keuangan dan akses akademik.","Sistem harus menampilkan rapor dan presensi hanya untuk anak tertaut.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-049 (hlm. 139); DOC-REQ-051 (hlm. 87; 127)","parent academic/presensi methods","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-101","DOC-REQ-046","REQ-WLS-004","Portal Orang Tua","Orang Tua, Wali Kelas","ORT","Orang Tua meminta unduh rapor dan Wali Kelas memutuskan permintaan tersebut.","Sistem harus memungkinkan Orang Tua meminta dan menggunakan akses download rapor anak.","CHANGED","Aktor, workflow, atau output final berbeda material dari requirement pada laporan utama.","DOC-REQ-046 (hlm. 82; 88; 123; 128)","parent request/download methods; RequestDownload model","Minta keputusan manusia atas actor/workflow final sebelum persetujuan formal."
"REC-102","DOC-REQ-019","—","Presensi & Izin","Sistem, Siswa","—","Sistem harus mencatat kehadiran otomatis berdasarkan aktivitas/akses LMS Siswa.","Method `SiaPresensiController::presensiOtomatis()` masih ada, tetapi tidak ditemukan route/call aktif yang menjalankannya.","LEGACY_OR_OBSOLETE","Requirement presensi otomatis terdokumentasi dan mempunyai sisa source, tetapi bukan surface aktif final.","DOC-REQ-019 (hlm. 10; 15; 20)","`SiaPresensiController.php`; `routes/web.php`","Jangan masukkan ke baseline aktif kecuali stakeholder meminta aktivasi kembali."


